,AcresBurned,ArchiveYear,Counties,CountyIds,CrewsInvolved,Fatalities,Latitude,Longitude,Name,PersonnelInvolved,Started,StructuresDamaged,StructuresDestroyed,UniqueId,Year,Month,Year-Month
73,150.0,2013,Fresno,10,,,36.7218,-119.2248,George Fire,,2013-06-25 13:36:00+00:00,,,23ec2f69-da30-4983-80c2-1f04bfea6f9a,2013,06,2013-06
74,150.0,2013,Butte,4,,,0.0,0.0,Neal Fire,60.0,2013-05-22 00:56:00+00:00,,,28ffc826-6789-429c-9801-f3a02dbb320a,2013,05,2013-05
75,149.0,2013,Los Angeles,19,,,34.419284000000005,-118.58688000000001,Magic Fire,,2013-05-28 11:30:00+00:00,,,794412f2-1ba2-4217-ac38-49272a96fb6f,2013,05,2013-05
76,134.0,2013,Tulare,54,,,36.258,-118.459,Angora Fire,,2013-09-08 11:53:00+00:00,,,d332a628-6290-4e91-b8d0-4dc663b80c38,2013,09,2013-09
77,125.0,2013,Sonoma,49,9.0,,38.638828000000004,-122.655616,Yellow Fire,249.0,2013-05-01 02:01:00+00:00,,,64e4f81e-d872-44c4-ba8d-111fa77124ba,2013,05,2013-05
78,124.0,2013,Solano,48,,,38.08744,-122.13802,California Fire,,2013-06-18 15:18:00+00:00,,,2b403f03-fe84-450a-90b7-befb8acc7e70,2013,06,2013-06
79,124.0,2013,Merced,24,,,37.03776,-121.00693899999999,152 Fire,,2013-06-04 15:42:00+00:00,,,f9e85371-fc46-4f54-822c-7dcdaadde551,2013,06,2013-06
80,124.0,2013,Riverside,33,,,33.963591,-117.18793400000001,Smiley Fire,,2013-05-25 14:59:00+00:00,,,9795afee-7e60-4ab3-b5c3-7df67f91c5f9,2013,05,2013-05
81,120.0,2013,Lake,17,10.0,,38.882214000000005,-122.567525,Cantwell Fire,285.0,2013-11-08 13:42:00+00:00,,1.0,20ba8b6b-78d4-46a7-995b-d8fa38cbf3b8,2013,11,2013-11
82,116.0,2013,El Dorado,9,,,38.682378,-120.839075,Union Fire,,2013-08-16 13:55:00+00:00,,1.0,db009f8f-8b9d-44bb-a3f6-83f319c84d72,2013,08,2013-08
83,110.0,2013,San Bernardino,36,,,34.287,-117.45100000000001,Cleghorn Fire,,2013-08-17 17:25:00+00:00,,,c7f05927-66a4-403c-9048-aeb42eca0211,2013,08,2013-08
84,108.0,2013,Fresno,10,,,36.772425,-119.62838899999998,Clinton Fire,,2013-06-13 11:54:00+00:00,,,a2cfda2a-21c1-4e45-90b5-37d931b4a926,2013,06,2013-06
85,105.0,2013,Monterey,27,,,36.1531,-120.8973,Freeman Fire,,2013-06-29 14:09:00+00:00,,,58317b8d-7f4d-466f-b2c7-035c25fb00f0,2013,06,2013-06
86,100.0,2013,Los Angeles,19,,,0.0,0.0,Bee Fire,,2013-08-09 17:15:00+00:00,,,c6044e8d-c054-44f2-bc92-24510df4deef,2013,08,2013-08
87,100.0,2013,Tuolumne,55,,,37.91529,-120.33313000000001,Murphy Fire,,2013-06-02 13:30:00+00:00,,,98bfbb7c-8446-4e2e-a268-7e961353723c,2013,06,2013-06
88,100.0,2013,San Diego,37,,,32.564465000000006,-116.900368,Border Fire,,2013-05-22 16:14:00+00:00,,,e077e091-f890-477c-b948-eb23774b432e,2013,05,2013-05
89,98.0,2013,Mendocino,23,,,38.9252,-122.96600000000001,Highland Fire,,2013-09-28 13:57:00+00:00,,,b20a2031-12c9-4e9c-9f44-ac82c26e6c66,2013,09,2013-09
90,97.0,2013,Modoc,25,,,41.73325,-120.375,Davis Creek Complex,,2013-09-05 15:57:00+00:00,,,308ce8d5-67c8-4edb-9e2f-bf6295f98d7e,2013,09,2013-09
91,97.0,2013,San Bernardino,36,,,33.641999999999996,-116.706,Little Fire,,2013-08-24 15:09:00+00:00,,,b5109726-5e91-4c10-96f8-2a5bb72e5a59,2013,08,2013-08
92,97.0,2013,Lassen,18,,,40.88886,-120.95812600000001,Coyote Fire,,2013-08-09 15:51:00+00:00,,,2b84c8a2-e2e8-45a2-9221-e8075608c218,2013,08,2013-08
93,96.0,2013,Amador,3,,,38.27783,-120.966016,Roadrunner Fire,,2013-06-12 16:43:00+00:00,,,bf59bc5b-1398-4ae5-adef-6f61b9ee1b90,2013,06,2013-06
94,94.0,2013,San Luis Obispo,40,,,35.4393,-120.8358,Creek Fire,,2013-09-24 03:20:00+00:00,,,ac469123-da14-4821-b824-c6cf66138514,2013,09,2013-09
95,92.0,2013,Butte,4,4.0,,39.6612,-121.50353999999999,Branch Fire,80.0,2013-08-01 16:01:00+00:00,,,0b51d3d5-bb3a-426d-9c12-c1878a01d7cf,2013,08,2013-08
96,91.0,2013,Madera,20,6.0,,37.1927,-119.7917,Lilly 2 Fire,,2013-05-19 15:07:00+00:00,,1.0,2b765a08-c770-4b19-baa8-00dffe3fa838,2013,05,2013-05
97,90.0,2013,Riverside,33,,,33.9582,-116.6534,Water Fire,,2013-05-21 14:16:00+00:00,,,13850faa-5bab-4fd7-bac3-433ce9250c4d,2013,05,2013-05
98,85.0,2013,San Luis Obispo,40,,,35.62743,-120.83417,Adelaida Fire,,2013-07-07 13:16:00+00:00,,,a97d2b3a-3a53-424f-852c-5f1b8d199cc3,2013,07,2013-07
99,82.0,2013,Mendocino,23,,,39.0442,-123.1478,Retek Fire,,2013-11-22 10:06:00+00:00,,,e9e43213-b2fc-47bc-92cd-117ccd6e4780,2013,11,2013-11
100,80.0,2013,Butte,4,2.0,,39.731878,-121.71393799999998,Centerville Fire,35.0,2013-08-31 17:23:00+00:00,,,dd374f36-e7cb-4a48-91ee-e8be101e0f88,2013,08,2013-08
101,80.0,2013,Fresno,10,,,0.0,0.0,Butte Fire,,2013-04-09 12:35:00+00:00,,,3513f584-632d-4fd0-a98a-646eb0753248,2013,04,2013-04
102,75.0,2013,Tehama,52,,,0.0,0.0,Tehama Fire,,2013-09-15 17:39:00+00:00,,,ff13baa0-35e0-44dd-b994-38ada16baf7b,2013,09,2013-09
103,75.0,2013,San Bernardino,36,,,34.316,-117.352,Silverwood Fire,,2013-07-25 15:09:00+00:00,,,ed51bbd2-6f8e-4f46-9073-3673a583fada,2013,07,2013-07
104,75.0,2013,Madera,20,15.0,,37.169379,-119.75636000000002,Revis Fire,221.0,2013-06-12 16:40:00+00:00,,,7055a440-5d4c-4f58-bac9-2954ff6698a5,2013,06,2013-06
105,75.0,2013,San Bernardino,36,13.0,,34.1834,-117.4408,Lytle Fire,292.0,2013-05-13 13:30:00+00:00,,1.0,e2c4b308-9a2d-483b-8434-999bef9adc7c,2013,05,2013-05
106,75.0,2013,Napa,28,,,38.441792,-122.350844,Silverado Fire,,2013-04-30 23:44:00+00:00,,,d8d1c943-7b5d-4885-9043-f41075d6eded,2013,04,2013-04
107,73.0,2013,San Bernardino,36,,,34.003151,-117.106075,Liveoak Fire,,2013-09-11 16:57:00+00:00,,,31f21c59-8a94-4b17-91aa-88ca14817162,2013,09,2013-09
108,73.0,2013,Yuba,58,,,39.205999999999996,-121.31634,McGanney Fire,,2013-07-08 09:59:00+00:00,,,397ed8e6-6088-4e03-9316-8f50c65a83be,2013,07,2013-07
109,72.0,2013,Butte,4,,,0.0,0.0,Cedar Fire,44.0,2013-05-01 04:16:00+00:00,,,c6228c11-4388-4b33-aa18-3593c90f72ad,2013,05,2013-05
110,70.0,2013,Lake,17,2.0,,39.013682,-122.49189399999999,Double Fire,,2013-08-16 17:57:00+00:00,,,ae025ba5-8b5d-48de-ad5e-3037de3d18e9,2013,08,2013-08
111,68.0,2013,Modoc,25,,,41.568999999999996,-120.959,Rail Fire,,2013-09-07 17:30:00+00:00,,,0875cf4e-9948-45ed-a76d-d74564319b49,2013,09,2013-09
