AcresBurned,Counties,Name,UniqueId
3126,Santa Barbara,Cave Fire (No Longer a CAL FIRE Incident),7555692b-f672-4660-8f15-d0dab068a193
3111,Contra Costa,Morgan Fire,e33b2d80-7fec-4470-9e79-440d349b0d95
2995,Kings,Five Fire,0ba9a90d-6615-4fa8-9a10-3efb660437ca
2956,Tehama,Apple Fire,22fc8e84-ae8e-4a10-a9f3-828464616253
2950,Kern,Tarina Fire,676aa48b-d962-4026-a354-db047f14233f
2944,Fresno,Curry Fire,423df2bd-4464-44e0-8b8a-74f953613287
2940,Kern,Hawk Fire,1652d79a-f4fc-4151-a0d1-1b7366730f47
2883,Inyo,Georges Fire,09395db0-1c76-43c3-a3db-d18081b31a35
2860,Siskiyou,Pony Fire,103e1cb6-0a02-4ca8-8739-4cf77b5d1c98
2819,Mono,Clark Fire,afa76746-3e42-48ed-bff6-e65ef40c6037
2781,San Diego,San Felipe Fire,859479e3-918c-42c6-bb74-5fdc17930a16
2700,Alameda,Tesla Fire,8fc920eb-ca45-4d77-9a92-1326eca602d6
2662,Orange,Canyon Fire,0176a674-c102-4854-92af-7d09aa3e1430
2652,Modoc,Soup Complex,92c20948-6ff6-4a2c-b13f-32c75e71b16c
2575,Plumas,Eureka Fire,47988f74-d4bd-4ddd-814e-22ebc2ca5ccf
2575,Lassen,Willard Fire,1243f711-c29f-4bc3-a7e7-c705a6fc40f2
2546,Monterey,Lonoak Fire,35ba5eb8-520f-4660-af60-9e0e00e7b42b
2534,Tehama,Ranch Fire,69d98a94-4980-4dc0-b388-61c37c635f32
2520,Monterey,Coleman Fire,b8cf80c7-b617-4fe4-91b0-43b40d38c7f6
2512,Yolo,Sand Fire,1760d7f8-57a2-4a04-b7e5-0861cc0ee963
2500,Kern,Refuge Fire,6f329208-5aa0-45fc-a4ec-db9caf865ca7
2490,Napa,Snell Fire,db2344ac-f195-4f94-8999-e8c8ebb4a7a2
2462,Butte,Swedes Fire,0758e1c0-95ea-47e7-b5c1-5f3ea96bc664
2446,San Luis Obispo,Cuesta Fire,fde8f46b-0225-4489-be2d-68453a524190
2438,Lassen,Long Valley Fire ,2ce810c9-88f1-4efe-9254-8cbd339d2397
2422,Stanislaus,Rock Fire,4edb5c7c-08d6-4ae0-b8b3-7bb471e26d8e
2312,Kings,I-5 Fire,2f2a4afd-06f1-4b57-b3f2-db8e3d9ac05c
2304,Nevada,Lowell Fire,d6b4bed4-f3d6-488a-a2fb-54c7cbfbd8b3
2304,Ventura,Pine Fire,8653f541-d3ca-44b4-9edd-5a4a57349f2f
2295,Tulare,Indian Fire,345f6faa-9946-418e-8a60-d5cb9efb3af4
2290,Glenn,Chrome Fire,1d926fc4-0f23-47dd-a750-5e7fac4ad416
2289,Tulare,Roadrunner Fire,eff9d678-293f-43aa-96af-c5cf3203b31f
